area,header,class,method,method_line,method_static,method_status,matched_capi,triage,priority,next_phase,residual_kind,signature,note
include/gpu,include/gpu/gl/GrGLInterface.h,GrGLInterface,GrGLInterface,18,no,missing,,na,P3,Phase 9 GPU,tracked,GrGLInterface();,Phase 2 later: GL backend is not part of the current prioritized Ganesh/Graphite Metal/Vulkan path
include/gpu,include/gpu/gl/GrGLInterface.h,GrGLInterface,validate,18,no,missing,,na,P3,Phase 9 GPU,tracked,bool validate() const;,Phase 2 later: GL backend is not part of the current prioritized Ganesh/Graphite Metal/Vulkan path
include/gpu,include/gpu/gl/GrGLInterface.h,GrGLInterface,checkError,18,no,missing,,na,P3,Phase 9 GPU,tracked,"GrGLenum checkError(const char* location, const char* call) const;",Phase 2 later: GL backend is not part of the current prioritized Ganesh/Graphite Metal/Vulkan path
include/gpu,include/gpu/gl/GrGLInterface.h,GrGLInterface,checkAndResetOOMed,18,no,missing,,na,P3,Phase 9 GPU,tracked,bool checkAndResetOOMed() const;,Phase 2 later: GL backend is not part of the current prioritized Ganesh/Graphite Metal/Vulkan path
include/gpu,include/gpu/gl/GrGLInterface.h,GrGLInterface,suppressErrorLogging,18,no,missing,,na,P3,Phase 9 GPU,tracked,void suppressErrorLogging();,Phase 2 later: GL backend is not part of the current prioritized Ganesh/Graphite Metal/Vulkan path
include/gpu,include/gpu/gl/GrGLInterface.h,GrGLInterface,GrGLInterface,18,no,missing,,na,P3,Phase 9 GPU,tracked,"GrGLInterface(const GrGLInterface& that) : fStandard(that.fStandard) , fExtensions(that.fExtensions) , fFunctions(that.fFunctions) {}",Phase 2 later: GL backend is not part of the current prioritized Ganesh/Graphite Metal/Vulkan path
include/gpu,include/gpu/gl/GrGLInterface.h,GrGLInterface,hasExtension,51,no,missing,,na,P3,Phase 9 GPU,tracked,bool hasExtension(const char ext[]) const { return fExtensions.has(ext); },Phase 2 later: GL backend is not part of the current prioritized Ganesh/Graphite Metal/Vulkan path
include/gpu,include/gpu/gl/GrGLInterface.h,GrGLInterface,abandon,51,no,missing,,na,P3,Phase 9 GPU,tracked,virtual void abandon() const;,Phase 2 later: GL backend is not part of the current prioritized Ganesh/Graphite Metal/Vulkan path
include/gpu,include/gpu/gl/GrGLTypes.h,GrGLTextureInfo,operator==,153,no,missing,,na,P3,Phase 9 GPU,tracked,bool operator==(const GrGLTextureInfo& that) const { return fTarget == that.fTarget && fID == that.fID && fFormat == that.fFormat && fProtected == that.fProtected; },Phase 2 later: GL backend is not part of the current prioritized Ganesh/Graphite Metal/Vulkan path
include/gpu,include/gpu/gl/GrGLTypes.h,GrGLTextureInfo,isProtected,153,no,missing,,na,P3,Phase 9 GPU,tracked,bool isProtected() const { return fProtected == skgpu::Protected::kYes; },Phase 2 later: GL backend is not part of the current prioritized Ganesh/Graphite Metal/Vulkan path
include/gpu,include/gpu/gl/GrGLTypes.h,GrGLFramebufferInfo,operator==,169,no,missing,,na,P3,Phase 9 GPU,tracked,bool operator==(const GrGLFramebufferInfo& that) const { return fFBOID == that.fFBOID && fFormat == that.fFormat && fProtected == that.fProtected; },Phase 2 later: GL backend is not part of the current prioritized Ganesh/Graphite Metal/Vulkan path
include/gpu,include/gpu/gl/GrGLTypes.h,GrGLFramebufferInfo,isProtected,169,no,missing,,na,P3,Phase 9 GPU,tracked,bool isProtected() const { return fProtected == skgpu::Protected::kYes; },Phase 2 later: GL backend is not part of the current prioritized Ganesh/Graphite Metal/Vulkan path
include/gpu,include/gpu/graphite/BackendSemaphore.h,BackendSemaphore,BackendSemaphore,15,no,missing,,real_gap,P2,Phase 9 GPU,tracked,BackendSemaphore();,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendSemaphore.h,BackendSemaphore,BackendSemaphore,15,no,missing,,real_gap,P2,Phase 9 GPU,tracked,"BackendSemaphore(CFTypeRef mtlEvent, uint64_t value);","Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendSemaphore.h,BackendSemaphore,BackendSemaphore,15,no,missing,,real_gap,P2,Phase 9 GPU,tracked,BackendSemaphore(VkSemaphore semaphore);,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendSemaphore.h,BackendSemaphore,BackendSemaphore,15,no,missing,,real_gap,P2,Phase 9 GPU,tracked,BackendSemaphore(const BackendSemaphore&);,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendSemaphore.h,BackendSemaphore,~BackendSemaphore,15,no,false_positive,,false_positive,P0,Phase 10,coverage_polish,~BackendSemaphore();,"destructor/lifetime should be represented by wrapper release/delete API, not direct method binding"
include/gpu,include/gpu/graphite/BackendSemaphore.h,BackendSemaphore,isValid,15,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool isValid() const { return fIsValid; },"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendSemaphore.h,BackendSemaphore,backend,15,no,missing,,real_gap,P2,Phase 9 GPU,tracked,BackendApi backend() const { return fBackend; },"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendSemaphore.h,BackendSemaphore,getMtlEvent,15,no,missing,,real_gap,P2,Phase 9 GPU,tracked,CFTypeRef getMtlEvent() const;,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendSemaphore.h,BackendSemaphore,getMtlValue,15,no,missing,,real_gap,P2,Phase 9 GPU,tracked,uint64_t getMtlValue() const;,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendSemaphore.h,BackendSemaphore,getVkSemaphore,15,no,missing,,real_gap,P2,Phase 9 GPU,tracked,VkSemaphore getVkSemaphore() const;,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,BackendTexture,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,BackendTexture();,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,BackendTexture,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,BackendTexture(WGPUTexture texture);,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,BackendTexture,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,"BackendTexture(SkISize planeDimensions, const DawnTextureInfo& info, WGPUTexture texture);","Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,BackendTexture,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,"BackendTexture(SkISize dimensions, CFTypeRef mtlTexture);","Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,BackendTexture,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,"BackendTexture(SkISize dimensions, const VulkanTextureInfo&, VkImageLayout, uint32_t queueFamilyIndex, VkImage, VulkanAlloc);","Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,BackendTexture,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,BackendTexture(const BackendTexture&);,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,~BackendTexture,26,no,false_positive,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,false_positive,P0,Phase 10,coverage_polish,~BackendTexture();,"destructor/lifetime should be represented by wrapper release/delete API, not direct method binding"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,operator==,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,bool operator==(const BackendTexture&) const;,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,operator!=,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,bool operator!=(const BackendTexture& that) const { return !(*this == that); },"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,isValid,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,bool isValid() const { return fInfo.isValid(); },"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,backend,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,BackendApi backend() const { return fInfo.backend(); },"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,dimensions,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,SkISize dimensions() const { return fDimensions; },"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,info,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,const TextureInfo& info() const { return fInfo; },"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,setMutableState,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,void setMutableState(const skgpu::MutableTextureState&);,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,getDawnTexturePtr,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,WGPUTexture getDawnTexturePtr() const;,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,getMtlTexture,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,CFTypeRef getMtlTexture() const;,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,getVkImage,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,VkImage getVkImage() const;,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,getVkImageLayout,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,VkImageLayout getVkImageLayout() const;,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,getVkQueueFamilyIndex,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,uint32_t getVkQueueFamilyIndex() const;,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/BackendTexture.h,BackendTexture,getMemoryAlloc,26,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,const VulkanAlloc* getMemoryAlloc() const;,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/Context.h,Context,~Context,35,no,false_positive,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_createCharacterization|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release,false_positive,P0,Phase 10,coverage_polish,~Context();,"destructor/lifetime should be represented by wrapper release/delete API, not direct method binding"
include/gpu,include/gpu/graphite/Context.h,Context,backend,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,real_gap,P2,Phase 9 GPU,tracked,BackendApi backend() const;,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/Context.h,Context,makeRecorder,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,real_gap,P2,Phase 9 GPU,tracked,std::unique_ptr<Recorder> makeRecorder(const RecorderOptions& = {});,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/Context.h,Context,insertRecording,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,real_gap,P2,Phase 9 GPU,tracked,bool insertRecording(const InsertRecordingInfo&);,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/Context.h,Context,submit,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,real_gap,P2,Phase 9 GPU,tracked,bool submit(SyncToCpu = SyncToCpu::kNo);,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/Context.h,Context,asyncRescaleAndReadPixels,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,real_gap,P2,Phase 9 GPU,tracked,"void asyncRescaleAndReadPixels(const SkImage* image, const SkImageInfo& dstImageInfo, const SkIRect& srcRect, SkImage::RescaleGamma rescaleGamma, SkImage::RescaleMode rescaleMode, SkImage::ReadPixelsCallback callback, SkImage::ReadPixelsCon","Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/Context.h,Context,asyncRescaleAndReadPixels,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,real_gap,P2,Phase 9 GPU,tracked,"void asyncRescaleAndReadPixels(const SkSurface* surface, const SkImageInfo& dstImageInfo, const SkIRect& srcRect, SkImage::RescaleGamma rescaleGamma, SkImage::RescaleMode rescaleMode, SkImage::ReadPixelsCallback callback, SkImage::ReadPixel","Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/Context.h,Context,asyncRescaleAndReadPixelsYUV420,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,real_gap,P2,Phase 9 GPU,tracked,"void asyncRescaleAndReadPixelsYUV420(const SkImage*, SkYUVColorSpace yuvColorSpace, sk_sp<SkColorSpace> dstColorSpace, const SkIRect& srcRect, const SkISize& dstSize, SkImage::RescaleGamma rescaleGamma, SkImage::RescaleMode rescaleMode, SkI","Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/Context.h,Context,asyncRescaleAndReadPixelsYUV420,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,real_gap,P2,Phase 9 GPU,tracked,"void asyncRescaleAndReadPixelsYUV420(const SkSurface*, SkYUVColorSpace yuvColorSpace, sk_sp<SkColorSpace> dstColorSpace, const SkIRect& srcRect, const SkISize& dstSize, SkImage::RescaleGamma rescaleGamma, SkImage::RescaleMode rescaleMode, S","Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/Context.h,Context,asyncRescaleAndReadPixelsYUVA420,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,real_gap,P2,Phase 9 GPU,tracked,"void asyncRescaleAndReadPixelsYUVA420(const SkImage*, SkYUVColorSpace yuvColorSpace, sk_sp<SkColorSpace> dstColorSpace, const SkIRect& srcRect, const SkISize& dstSize, SkImage::RescaleGamma rescaleGamma, SkImage::RescaleMode rescaleMode, Sk","Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/Context.h,Context,asyncRescaleAndReadPixelsYUVA420,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,real_gap,P2,Phase 9 GPU,tracked,"void asyncRescaleAndReadPixelsYUVA420(const SkSurface*, SkYUVColorSpace yuvColorSpace, sk_sp<SkColorSpace> dstColorSpace, const SkIRect& srcRect, const SkISize& dstSize, SkImage::RescaleGamma rescaleGamma, SkImage::RescaleMode rescaleMode, ","Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/Context.h,Context,checkAsyncWorkCompletion,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,real_gap,P2,Phase 9 GPU,tracked,void checkAsyncWorkCompletion();,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/Context.h,Context,deleteBackendTexture,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,real_gap,P2,Phase 9 GPU,tracked,void deleteBackendTexture(const BackendTexture&);,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/Context.h,Context,freeGpuResources,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,real_gap,P2,Phase 9 GPU,tracked,void freeGpuResources();,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/Context.h,Context,performDeferredCleanup,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,real_gap,P2,Phase 9 GPU,tracked,void performDeferredCleanup(std::chrono::milliseconds msNotUsed);,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/Context.h,Context,currentBudgetedBytes,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,real_gap,P2,Phase 9 GPU,tracked,size_t currentBudgetedBytes() const;,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/Context.h,Context,dumpMemoryStatistics,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,real_gap,P2,Phase 9 GPU,tracked,void dumpMemoryStatistics(SkTraceMemoryDump* traceMemoryDump) const;,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/Context.h,Context,supportsProtectedContent,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,real_gap,P2,Phase 9 GPU,tracked,bool supportsProtectedContent() const;,"Phase 2: Graphite context/recorder/backend object API, gated by Graphite backend options"
include/gpu,include/gpu/graphite/Context.h,Context,priv,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,na,P0,Phase 9 GPU,tracked,ContextPriv priv();,testing/private helper is not part of stable C ABI surface
include/gpu,include/gpu/graphite/Context.h,Context,priv,35,no,missing,GrContextThreadSafeProxy_compressedBackendFormat|GrContextThreadSafeProxy_defaultBackendFormat|GrContextThreadSafeProxy_equals|GrContextThreadSafeProxy_isValid|GrContextThreadSafeProxy_maxSurfaceSampleCountForColorType|GrContextThreadSafeProxy_notEquals|GrContextThreadSafeProxy_release|GrDirectContextID_delete,na,P0,Phase 9 GPU,tracked,const ContextPriv priv() const;,testing/private helper is not part of stable C ABI surface
